teams	1
307	307	3	小鸡爱吃肯德基(The chicken loves KFC)	Zhejiang University of Finance and Economics		CHN
318	318	3	TJP工商大学(TJPGSU)	Zhejiang Gongshang University		CHN
322	322	3	欢迎报考浙江工业幼儿园(WelcomeToZJKT)	Zhejiang University of Technology	ZJUT	CHN
84	084	3	穷游中国(Travel_Poorly)	Guangdong University of Technology	GDUT	CHN
76	076	3	我希望这是一个幸运数字(Team0338)	Fuzhou University	Fuzhou U	CHN
325	325	3	普通的队(ordinary team)	Zhejiang SCI-TECH University	ZSTU	CHN
335	335	3	铁牌的诱惑(Iron temptation)	North University of China		CHN
348	348	9	嘤嘤嘤(yyy)	University of Chinese Academy of Sciences	UCAS	CHN
24	024	3	乖乖站好(You like that,hum?)	Beijing Institute of Technology	BIT	CHN
336	336	3	模板搬运工(Template Porters)	Communication University of China	CCom U	CHN
361	361	3	锟斤拷烫烫烫(Three stinkers)	Information Engineering University of the People's Liberation Army		CHN
331	331	3	诶？等等(ZCMU-EC1)	Zhejiang Chinese Medical University		CHN
366	366	3	繁樱之冬(The winter of sakura)	Central South University	Central South U.	CHN
364	364	3	拿衣服走人(Take the clothes go home)	Shengli College China University of Petroleum		CHN
304	304	3	四斋蒸鹅心(Otaku ha kimoi)	Changsha University of Science and Technology		CHN
315	315	3	宁静致远(ningjingzhiyuan)	Ningbo Institute of Technology, ZJU	NIT	CHN
9	009	3	ORION_PIE(ORION_PIE)	Peking University	Peking U	CHN
330	330	3	我们不是恶魔(we are not devil)	Zhejiang Normal University	ZJNU	CHN
312	312	3	旅行八龟(Travel_Turtle)	Zhejiang University City College		CHN
327	327	3	卖竹鼠三元一只十元三只(buy one get two)	Zhejiang A & F University	ZAFU	CHN
338	338	3	本地记者(Local Journalists)	China University of Geosciences, Beijing		CHN
351	351	3	嘟嘟噜(Steins Gates)	China University of Mining and Technology	CUMT	CHN
358	358	3	热传导(Thermal Conduction)	Renmin University of China	RUC	CHN
249	249	9	数一说的(whatever mathlover says is)	Xidian University	Xidian U	CHN
268	268	3	dqs看我飞(Dqs Ob FF Rush NE)	Northwest University		CHN
261	261	3	梅尼耶(Good difficult)	Xi'an Eurasia University	Euraisa	CHN
280	280	3	就当我们没来过(Pretend not to attend)	Southwest University of Science and Technology		CHN
285	285	3	线段树上线段果，线段树下你和我(what is my name?)	SouthWest Minzu University		CHN
277	277	3	收割机(reaper)	China West Normal University	CWNU	CHN
313	313	3	金色威兹班(Whizbang the Wonderful)	Zhejiang University City College		CHN
278	278	3	暴力过题(for(int i=1;;i++)  Accepted++;)	Southwest Jiaotong University - Emei	SWJTU-EM	CHN
287	287	3	难受队名被ban了(Where are my girlfriends)	Southwest Petroleum University	SWPU	CHN
306	306	3	天光(ray)	Zhejiang University of Finance and Economics		CHN
316	316	3	石筑之海(stone ocean)	Ningbo Institute of Technology, ZJU	NIT	CHN
319	319	7	浙江TJP大学(ZJTJPU)	Zhejiang Gongshang University		CHN
323	323	3	ZJUT4(zjut4)	Zhejiang University of Technology	ZJUT	CHN
328	328	3	铃羽世界第一软萌(Suzuha is cute!)	Zhejiang A & F University	ZAFU	CHN
332	332	3	伟神别黑我衣服(ZCMU-EC2)	Zhejiang Chinese Medical University		CHN
340	340	3	地大武汉ACM-No.2(CUG-2018Final02)	China University of Geosciences (Wuhan)	CUG	CHN
343	343	3	鲸落(Whale Fall)	Ocean University of China	OUC	CHN
363	363	3	终极之战(The ultimate battle)	China University of Petroleum		CHN
352	352	3	WA WA FISH(WA WA FISH)	China University of Mining and Technology	CUMT	CHN
367	367	3	奉均衡之命(As balance dictates)	South-Central University for Nationalities		CHN
371	371	3	The First Team of ZUT(The First Team of ZUT)	Zhongyuan University of Technology		CHN
372	372	3	这题不是随便搞吗(easy problem)	Chongqing University	CQU	CHN
375	375	3	快乐莽夫(happy mang)	Chongqing University of Posts and Telecommunications	CQUPT	CHN
92	092	3	FTW(For the win)	Guizhou Education University	GEU	CHN
269	269	3	隐(ruorancarry)	Northwest University		CHN
208	208	3	我想AC队(I just want AC)	Shaanxi Normal University	SNNU	CHN
